GameName,GameReleaseDate,GameDesc,ParentRate,PerpName,GenreTypeName,Platform1,Platform2,Platform3,Platform4
COVID: The Outbreak,28-May-20,The Outbreak is a real-time strategy game in which you play the role of a global organization that has to deal with a global pandemic.,Everyone 10+,2D Scrolling,Strategy,PC,,,
Doom Eternal,20-Mar-20,DOOM Eternal is the direct sequel to DOOM (2016),Mature 17+,First Person,Shooter,Xbox,PC,PlayStation,
Resident Evil 3,3-Apr-20,Jill Valentine is one of the last remaining people in Raccoon City to witness the atrocities Umbrella performed,Mature 17+,Third Person,Adventure,Playstation,Xbox,PC,
Poly Bridge 2,28-May-20,"New levels, new mechanics, and a custom deterministic physics engine",Everyone,Third Person,Simulation,PC,,,
Pokémon Mystery Dungeon: Rescue Team DX,6-Mar-20,You can meet and recruit Pokémon in a dungeon-crawling adventure within their world!,Everyone,Aerial,Adventure,Xbox,PC,PlayStation,
Mount & Blade II: Bannerlord,30-Mar-20,Bannerlord is the eagerly awaited sequel to the acclaimed medieval combat simulator and role-playing game Mount & Blade: Warband,Everyone 10+,First Person,Adventure,PC,,,
112 Operator,23-Apr-20,Manage the emergency services in any city in the world! Take calls and dispatch rescue forces,Everyone 10+,3 dimensional,Strategy,PC,,,
Control: The Foundation,26-Mar-20,The Foundation is the first downloadable expansion for Control. It will be followed by Expansion 2: AWE.,Mature 17+,First Person,Shooter,Xbox,PC,PlayStation,
Resolutiion,28-May-20,"An old killer escorts a curious AI through chaotic combat, puzzling secrets, and unsettling calm. ",Everyone 10+,2D Scrolling,Adventure,PC,,,
Hob: The Definitive Edition,4-Apr-19,"The Definitive Edition is an artfully crafted single-player adventure which sends gamers on a mysterious, breathtaking journey through the ruins of a lost civilization, where they will encounter strange creatures and unlock satisfying puzzles hidden throughout the world",Everyone,Aerial,Action,Switch,,,
Forgotten Anne,15-May-18,Forgotton Anne is a 2d cinematic adventure game combining puzzle platforming with adventure game elements,Everyone,2D Scrolling,Adventure,Xbox,PC,PlayStation,Switch
Pikuniku,24-Jan-19,Pikuniku is an absurdly wonderful puzzle-exploration game that takes place in a strange but playful world where not everything is as happy as it seems,Everyone,2D Scrolling,Adventure,Xbox,PC,Switch,
ESPN NFL 2K5,19-Jul-04,ESPN NFL 2K5 is an American football video game developed by Visual Concepts and published by 2K Sports and the Sega Corporation,Everyone,Aerial,Sport,Playstation,Xbox,,
The Cat Lady,1-Dec-12,"Susan Ashworth, known in her neighbourhood as the crazy Cat Lady, is a lonely 40- year old on the verge of suicide",Adults Only 18+,First Person,Adventure,PC,,,
Gone Home,15-Aug-13,Gone Home is a conceptual simulation game somewhat themed after classic adventure titles where how you interact with space around your characters determines how far you progress in the game.,Mature 17+,First Person,Adventure,Xbox,PC,PlayStation,Switch
FireWatch,9-Feb-16,"Firewatch is a mystery set in the woods of Wyoming, where your only emotional lifeline is the person on the other end of a handheld radio",Everyone 10+,First Person,Adventure,Xbox,PC,PlayStation,Switch
Fate/Extella: The Umbral Star,10-Nov-16,Fate/Extella is an upcoming action video game in the Fate/stay night series,Mature 17+,Third Person,Fighting,Playstation,PC,Switch,
Decay of Logos,27-Aug-19,Immerse yourself in the world of Decay Of Logos and unravel its mysteries,Mature 17+,Third Person,Adventure,Xbox,PC,PlayStation,Switch
Business Magnate,1-Mar-19,"Business Magnate is a tycoon business simulation game where you can create all types of businesses: Cars, rockets, phones, tanks, trucks, airplanes, computers, ships and more",Everyone,Aerial,Simulation,PC,,,
World War II,30-Apr-15,Order of Battle: World War II is breath of fresh air for all strategy fans,Everyone 10+,Aerial,Strategy,PC,,,
Tavern Typhoon,31-Jan-17,Run your fantasy RPG tavern - let travellers take shelter for the night and serve 'em the best mead of their life with a good dose of humor.,Everyone,Aerial,Strategy,PC,,,
Grand Theft Auto V,17-Sep-13,"The biggest, most dynamic and most diverse open world ever created, Grand Theft Auto V blends storytelling and gameplay in new ways as players repeatedly jump in and out of the lives of the game’s three lead characters, playing all sides of the game’s interwoven story.",Mature 17+,Aerial,Shooter,Playstation,Xbox,PC,
Watch Dog 2,15-Nov-16,Explore a massive and dynamic open world offering an incredible variety of gameplay possibilities,Mature 17+,Third Person,Shooter,Xbox,PC,PlayStation,
Murdered Soul Suspect,3-Jun-14,Murdered: Soul Suspect is a supernatural detective thriller which challenges players to solve possibly the hardest case of all… their own murder,Mature 17+,First Person,Adventure,Xbox,PC,PlayStation,
Shadow Fight 2: Special Edition,17-Aug-17,The Special Edition expands the original Shadow Fight 2 experience by worthwhile improvements,Mature 17+,2D Scrolling,Fighting,PC,,,
Final Fantasy XV,29-Nov-16,"Take the journey, now in ultimate quality",Mature 17+,Aerial,Fighting,Xbox,PlayStation,,
Persona 5,15-Sep-16,"Persona 5, a turn-based JRPG with visual novel elements, follows a high school student with a criminal record for a crime he didn't commit",Mature 17+,First Person,Adventure,Playstation,,,
Assassin's Creed: Brotherhood,16-Nov-10,"Live and breathe as Ezio, a legendary Master Assassin, in his enduring struggle against the powerful Templar Order. He must journey into Italy’s greatest city, Rome, center of power, greed and corruption to strike at the heart of the enemy",Mature 17+,Third Person,Adventure,Xbox,PC,PlayStation,
The Legend of Zelda: Breath of the Wild,3-Mar-17,"Step into a world of discovery, exploration and adventure in The Legend of Zelda: Breath of the Wild, a boundary-breaking new game in the acclaimed series",Everyone 10+,Third Person,Adventure,Wii U,Switch,,